COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
Afghanistan;AFG;7,2;5,4;6,4;8,9;0,7;4,8;7697,395478;222,1083902;4,4;10;7,2;6,2;1618,862;10;0,046712272;8,2;9,1;0,2;3,4;0;1,2;5,4;;5,4;42,63675;0,001230284;0,1;6,8;6;;;;6,4;3,7;7,3
Albania;ALB;2,9;0;1,6;3,6;1;2,3;263,87108;91,74611045;1,8;1;1,4;1,7;0,113;0;3,93E-05;0;0;0,2;0,3;;0,3;1;1,4;1,2;33,827;0,011761409;1,2;2,7;0;6;5,2;5,8;2,8;1,4;0,7
Algeria;DZA;3,2;;3,2;5,7;;5,7;206,371071;5,082273721;0,1;0,1;0,1;3,1;96,788;6,6;0,002383586;4;5,3;0,2;1,3;0;0,5;1,9;0,7;1,3;133,75;0,003293844;0,3;0,9;0;4,6;2,8;4,2;1,7;1;3,4
Angola;AGO;6,4;;6,4;;4,4;4,4;375,274359;13,02427084;0,3;0,2;0,3;4,4;49,187;5,6;0,001707084;3,6;4,6;3,8;6,7;8,4;6,3;6,3;3,5;4,9;1436,572;0,049857664;5;4;3;6,9;6,9;6,9;4,6;5,2;4,9
Antigua and Barbuda;ATG;2,5;;2,5;;;;12,987837;128,6395709;2,6;0;1,3;2,1;0,001;0;9,90E-06;0;0;;0,1;;0,1;0,7;;0,7;1,4;0,013866466;1,4;7,1;7,2;1,8;;1,8;5,4;2,2;1,2
Argentina;ARG;1,9;0;1;4,8;4,4;4,6;-30,015532;-0,68454481;0;0;0;1,7;3,322;1,7;7,58E-05;1,7;1,7;0,8;0,4;;0,6;0,9;0,5;0,7;133,73575;0,003050025;0,3;2,1;0;;;;1,1;0,7;1,2
Armenia;ARM;3,2;0;1,7;3,9;1,6;2,8;213,540081;73,00974865;1,5;2;1,8;2;26,322;4,7;0,00899954;5,5;5,1;0,4;0,8;;0,6;1;1,2;1,1;0,375;0,000128213;0;3,9;0;8,7;6;8,2;4;1,6;3,5
Australia;AUS;0,2;;0,2;1,6;2,5;2,1;0;0;0;;0;0,6;46,576;5,6;0,001930439;3,8;4,7;0,2;0,1;;0,2;0,3;0;0,2;23,72475;0,000983321;0,1;3,1;0;0,4;;0,4;1,2;0,4;2,8
Austria;AUT;0,9;;0,9;1;1,4;1,2;0;0;0;;0;0,8;104,375;6,7;0,011932174;5,9;6,3;;0,1;;0,1;0,3;;0,3;0,21;2,40E-05;0;0;0;0,5;3;1;0,3;0,2;3,9
Azerbaijan;AZE;2,9;0;1,6;4,3;0;2,2;137,166563;14,05067743;0,3;0,1;0,2;1,4;583,503;9,2;0,059771217;8,7;9;0,2;1,2;0;0,5;2,4;1,1;1,8;0;0;0;2,5;0;;;;1,3;0,9;6,5
Bahamas;BHS;2,4;;2,4;4,8;;4,8;0,874328;2,234806969;0;;0;2,4;0,014;0;3,58E-05;0;0;6,6;0,5;;3,6;0,8;;0,8;1,6775;0,004287737;0,4;5,6;1,7;0,7;2,7;1,1;2,8;2;1
Bahrain;BHR;1,9;;1,9;3,1;;3,1;0;0;0;;0;1,7;0,262;0;0,000183838;2,1;1,1;0,2;0,2;;0,2;0,6;;0,6;0;0;0;1,5;0;1,4;9,3;3;1,5;0,6;0,9
Bangladesh;BGD;5,7;3,1;4,5;6,9;1,7;4,3;3002,788726;18,42749387;0,4;0,7;0,6;3,5;1435,405;10;0,008808784;5,5;7,8;0,2;4;1,2;1,8;2,6;7,2;4,9;14043,1505;0,086179913;8,6;5,5;3,4;7,8;2,3;6,7;5,2;5,7;6,9
Barbados;BRB;2,4;0;1,3;3,9;;3,9;0,078012;0,273730158;0;;0;1,6;0;0;0;0;0;2,6;0;;1,3;0,9;0,8;0,9;0;0;0;4,1;0;1,5;2,7;1,7;1,9;1;0,5
Belarus;BLR;2,4;0;1,3;1,9;0,5;1,2;114,640582;12,05839224;0,2;0;0,1;1;1,93;1;0,000203006;2,2;1,6;0,8;0,9;;0,9;0,3;0,3;0,3;50,539;0,005315911;0,5;2,5;0;4,8;;4,8;2,4;1,1;1,4
Belgium;BEL;0,8;;0,8;1;0,6;0,8;1,516729;0,13365419;0;;0;0,6;42,168;5,4;0,003715845;4,4;4,9;;0,2;;0,2;0,3;;0,3;0;0;0;0,1;0;0,8;3;1,2;0,4;0,2;2,9
Belize;BLZ;3,8;0;2,1;5;;5;10,675;29,09083972;0,6;1,4;1;2,6;0;0;0;0;0;3,6;0,7;0;1,4;1,1;1,4;1,3;10,1775;0,027735084;2,8;3,6;0,4;2,3;10;3,8;2,6;2,1;1,1
Benin;BEN;7,2;6,5;6,9;8,2;4,6;6,4;409,291448;37,64534857;0,8;3,8;2,3;5,6;0,968;0;8,90E-05;1,8;0,9;2;1,1;6,7;3,3;7,5;4;5,8;0,1405;1,29E-05;0;3,6;1,8;7,9;10;8,3;4,6;3,7;2,4
Bhutan;BTN;5,3;1,7;3,7;6,4;3,4;4,9;68,990333;86,4795184;1,7;1,7;1,7;3,5;0;0;0;0;0;0,2;3,2;0;1,1;2,5;2,8;2,7;0;0;0;5,3;3,3;4,5;3,2;4,2;4,3;2,2;1,2
Bolivia;BOL;4,2;1;2,8;5,9;5,9;5,9;418,79483;38,46430646;0,8;1,4;1,1;3,2;0,797;0;7,32E-05;1,7;0,9;0,6;2,1;0;0,9;2,8;1;1,9;359,4325;0,03301216;3,3;6,3;5,1;5,4;6,1;5,5;5,6;3,1;2,1
Bosnia and Herzegovina;BIH;3,1;0;1,7;2,1;2;2,1;315,706294;89,77048956;1,8;1,8;1,8;1,8;103,565;6,7;0,029448513;7,3;7;;0,6;;0,6;0,5;0,3;0,4;0;0;0;3,3;0;4,2;3,2;4;2,4;0,9;4,6
Botswana;BWA;3,9;;3,9;5,8;8,9;7,4;134,92;59,95751602;1,2;0,4;0,8;4;2,149;1,1;0,000955001;3,2;2,2;10;5,9;0;5,3;3,1;2,5;2,8;3,25;0,001444278;0,1;6,8;7;2,1;1,8;2;5,3;3,7;3
Brazil;BRA;3;0;1,6;5,5;6,6;6,1;1275,983944;6,14479338;0,1;0;0,1;2,4;10,129;3,4;4,88E-05;0;1,7;1,2;0,8;0,1;0,7;1,2;0,5;0,9;206,92275;0,000996484;0,1;2,5;0;1,8;2,2;1,9;1,5;0,8;1,3
Brunei Darussalam;BRN;1,3;;1,3;;;;0;0;0;;0;0,9;0;0;0;0;0;0;1,2;;0,6;0,8;2,1;1,5;0;0;0;3,3;0;2,2;2,4;2,2;1,8;1;0,5
Bulgaria;BGR;2,4;;2,4;3;2,8;2,9;0,028351;0,003977512;0;;0;1,9;18,678;4,2;0,002620436;4;4,1;0,2;0,5;;0,4;0,6;;0,6;0;0;0;4,4;0;2,4;3;2,5;2,3;0,9;2,6
Burkina Faso;BFA;8,4;10;9,4;8,2;2,6;5,4;854,627892;45,83332039;0,9;6;3,5;6,9;24,406;4,6;0,001308883;3,4;4;1,6;0,9;8,6;3,7;6,5;5,8;6,2;37,64675;0,002018979;0,2;2,9;5,1;8,2;5,9;7,7;5,2;4,2;4,1
Burundi;BDI;8,4;8,7;8,6;6,3;2,1;4,2;872,14369;82,87096105;1,7;10;5,9;6,8;298,399;8,2;0,028353828;7,3;7,8;2,2;2,1;5,3;3,2;5,5;6,5;6;1,624;0,000154312;0;7,7;10;6,7;4,2;6,2;8;5;6,6
Cabo Verde;CPV;4,6;;4,6;;5,5;5,5;181,832684;337,0017866;6,7;4,9;5,8;5,1;0;0;0;0;0;1,6;2,5;0;1,4;1,6;;1,6;0;0;0;5,2;2,9;5,2;2,7;4,7;4,3;2;1
